provider_id,provider_name,provider_type,specialty,network_status,geographic_region,contract_start_date,contract_status,claims_submitted_ytd,last_update_date
1,PRV_0001,facility,imaging,in_network,west,2022-11-07,active,552,2026-08-10 12:34:39.879432
2,PRV_0002,facility,emergency,in_network,south,2021-12-24,active,563,2026-08-10 12:34:39.879432
3,PRV_0003,individual_md,primary_care,in_network,midwest,2021-08-25,active,577,2026-08-10 12:34:39.879432
4,PRV_0004,urgent_care,orthopedics,out_of_network,south,2021-02-11,active,563,2026-08-10 12:34:39.879432
5,PRV_0005,hospital,cardiology,out_of_network,south,2019-05-11,terminated,541,2026-08-10 12:34:39.879432
6,PRV_0006,individual_md,pharmacy,in_network,south,2022-06-26,active,585,2026-08-10 12:34:39.879432
7,PRV_0007,group_practice,cardiology,in_network,midwest,2018-09-14,active,603,2026-08-10 12:34:39.879432
8,PRV_0008,urgent_care,orthopedics,preferred,south,2018-07-29,active,556,2026-08-10 12:34:39.879432
9,PRV_0009,facility,imaging,in_network,south,2019-07-05,active,525,2026-08-10 12:34:39.879432
10,PRV_0010,individual_md,cardiology,in_network,west,2018-10-22,active,592,2026-08-10 12:34:39.879432
11,PRV_0011,individual_md,psychiatry,pending_contract,midwest,2019-04-23,active,573,2026-08-10 12:34:39.879432
12,PRV_0012,individual_md,primary_care,preferred,south,2018-03-31,active,536,2026-08-10 12:34:39.879432
13,PRV_0013,individual_md,emergency,in_network,midwest,2023-09-16,active,583,2026-08-10 12:34:39.879432
14,PRV_0014,individual_md,primary_care,out_of_network,midwest,2020-05-19,active,562,2026-08-10 12:34:39.879432
15,PRV_0015,urgent_care,lab,in_network,midwest,2020-11-19,inactive,587,2026-08-10 12:34:39.879432
16,PRV_0016,urgent_care,psychiatry,in_network,south,2023-01-09,active,567,2026-08-10 12:34:39.879432
17,PRV_0017,group_practice,emergency,in_network,south,2019-03-21,inactive,574,2026-08-10 12:34:39.879432
18,PRV_0018,hospital,primary_care,in_network,south,2020-12-14,active,588,2026-08-10 12:34:39.879432
19,PRV_0019,group_practice,lab,in_network,south,2022-06-26,active,588,2026-08-10 12:34:39.879432
20,PRV_0020,individual_md,primary_care,out_of_network,west,2022-05-26,inactive,548,2026-08-10 12:34:39.879432
21,PRV_0021,individual_md,primary_care,pending_contract,northeast,2020-06-28,active,574,2026-08-10 12:34:39.879432
22,PRV_0022,urgent_care,imaging,preferred,midwest,2018-08-17,active,584,2026-08-10 12:34:39.879432
23,PRV_0023,individual_md,cardiology,in_network,midwest,2020-02-06,active,569,2026-08-10 12:34:39.879432
24,PRV_0024,urgent_care,primary_care,pending_contract,south,2022-07-01,active,542,2026-08-10 12:34:39.879432
25,PRV_0025,group_practice,lab,preferred,northeast,2021-12-14,active,558,2026-08-10 12:34:39.879432
26,PRV_0026,individual_md,pharmacy,preferred,south,2021-08-15,terminated,576,2026-08-10 12:34:39.879432
27,PRV_0027,urgent_care,primary_care,preferred,south,2022-12-22,under_review,564,2026-08-10 12:34:39.879432
28,PRV_0028,individual_md,pharmacy,in_network,northeast,2023-07-29,active,600,2026-08-10 12:34:39.879432
29,PRV_0029,individual_md,emergency,in_network,west,2023-08-30,active,565,2026-08-10 12:34:39.879432
30,PRV_0030,individual_md,psychiatry,in_network,northeast,2023-08-19,terminated,546,2026-08-10 12:34:39.879432
31,PRV_0031,facility,primary_care,in_network,south,2018-04-14,active,530,2026-08-10 12:34:39.879432
32,PRV_0032,group_practice,orthopedics,in_network,west,2023-02-03,active,561,2026-08-10 12:34:39.879432
33,PRV_0033,hospital,primary_care,preferred,west,2021-09-19,active,566,2026-08-10 12:34:39.879432
34,PRV_0034,group_practice,imaging,out_of_network,northeast,2019-04-06,inactive,540,2026-08-10 12:34:39.879432
35,PRV_0035,individual_md,imaging,in_network,midwest,2022-12-13,active,550,2026-08-10 12:34:39.879432
36,PRV_0036,urgent_care,lab,in_network,northeast,2023-10-06,active,548,2026-08-10 12:34:39.879432
37,PRV_0037,facility,imaging,in_network,midwest,2023-12-24,active,558,2026-08-10 12:34:39.879432
